City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
264,Mar Del Plata,AR,69.1,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
265,Puerto Colombia,CO,78.89,clear sky,10.9878,-74.9547,Hotel El Emigrante
266,Boddam,GB,39.11,broken clouds,57.4667,-1.7833,Palace Hotel
267,Mugan,CN,19.89,overcast clouds,35.9404,101.3842,
268,Great Yarmouth,GB,40.44,overcast clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
269,Grao Mogol,BR,65.34,overcast clouds,-16.5594,-42.8897,Pousada do Eti
270,Hami,CN,27.37,few clouds,42.8,93.45,Laoyutang Resort
271,Asfi,MA,56.53,clear sky,32.2994,-9.2372,Hôtel Abda
272,Alta Floresta,BR,69.73,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
273,Tromso,NO,12.22,clear sky,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
274,Klaksvik,FO,38.32,overcast clouds,62.2266,-6.589,Airbnb rooms
275,Ous,RU,27.3,overcast clouds,60.9058,61.5186,
276,Yibin,CN,42.75,overcast clouds,28.7667,104.6238,Handsome Guesthouse
277,Dingle,PH,81.59,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
278,Matay,EG,55.47,overcast clouds,28.419,30.7792,Nag Aespen
279,Constitucion,CL,55.04,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
280,Kavieng,PG,84.22,moderate rain,-2.5744,150.7967,Nusa Island Retreat
281,Termiz,UZ,46.49,clear sky,37.2242,67.2783,Hotel Ulugbek
282,Touros,BR,79.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
283,Mobile,US,58.39,scattered clouds,30.7835,-88.2,Days Inn by Wyndham North Mobile
284,Shakhtinsk,KZ,9.16,clear sky,49.71,72.5872,Orifleym
285,Sitka,US,42.69,scattered clouds,57.0531,-135.33,Westmark Sitka
286,Ixtapa,MX,74.43,few clouds,20.7,-105.2,hotel la terminal
287,Jhalrapatan,IN,61.03,clear sky,24.55,76.1667,Hotel Krishna Palace
288,San Rafael,AR,71.28,clear sky,-34.6177,-68.3301,Hotel San Rafael
289,Port Hueneme,US,61.05,mist,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
290,Qaqortoq,GL,1.9,overcast clouds,60.7167,-46.0333,Siniffik Inn
292,Bambous Virieux,MU,81.21,light rain,-20.3428,57.7575,Casa Tia Villa
293,Trinidad,BO,73.49,broken clouds,-14.8333,-64.9,Hotel Piesta
294,Palmas,BR,76.87,moderate rain,-10.2128,-48.3603,Hotel Lago da Palma
295,Hithadhoo,MV,81.1,few clouds,-0.6,73.0833,Scoop Guest House
296,Sampit,ID,76.73,moderate rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
297,Diffa,NE,63.61,clear sky,13.3154,12.6113,ProDAF/Diffa
298,Haines Junction,CA,13.95,overcast clouds,60.7522,-137.5108,Parkside Inn
299,Kuldur,RU,6.35,broken clouds,49.2167,131.6333,
300,Prince Rupert,CA,40.69,clear sky,54.3161,-130.3201,Crest Hotel
301,Raga,SS,66.69,scattered clouds,8.4596,25.678,
302,Farah,AF,53.98,overcast clouds,32.5,62.5,
303,Pisco,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
304,Owando,CG,69.82,light rain,-0.4819,15.8999,Exaunel Hotel Owando
305,Guerrero Negro,MX,60.48,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
306,San Carlos De Bariloche,AR,51.55,moderate rain,-41.1456,-71.3082,Hotel Patagonia
307,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
308,Makakilo City,US,79.61,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
309,Acapulco,MX,82.22,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
311,Lompoc,US,56.37,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
312,Vologda,RU,21.63,overcast clouds,59.2187,39.8886,Vologda Gostinitsa Sputnik
313,Lorengau,PG,82.85,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
314,Almeirim,BR,76.73,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
315,Cabo San Lucas,MX,71.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
316,Kalangala,UG,72.21,overcast clouds,-0.3089,32.225,Ssese Habitat Resort
317,Rocha,UY,68.79,broken clouds,-34.4833,-54.3333,Hotel Arrarte
318,Dubuque,US,41.92,clear sky,42.4833,-90.8668,American Inn and Suites
319,Trenggalek,ID,82.65,light rain,-8.05,111.7167,OYO 2966 Hotel Atriaz
320,Nagykanizsa,HU,41.11,broken clouds,46.4535,16.991,Hotel Vineyard Inn - Vineyard
321,Waitati,NZ,62.8,few clouds,-45.75,170.5667,Arden Country House BnB Dunedin
322,Bideford,GB,44.96,broken clouds,51.0179,-4.2046,Durrant House Hotel
323,Yangambi,CD,67.32,overcast clouds,0.8102,24.4336,
324,Marienburg,PL,46.85,light rain,54.0359,19.0266,Hotel Centrum Malbork
325,Urusha,RU,2.12,overcast clouds,54.05,122.9,Dom Otdykha Lokomotivnykh Brigad
326,Melfi,IT,49.41,few clouds,40.9965,15.6514,HOTEL TERME DI RAPOLLA
327,Artyom,AZ,39.34,few clouds,40.4723,50.333,Merdan Respect
328,Canada,ES,46.29,overcast clouds,38.6767,-0.8141,"Hotel canino ""La Lloma"""
329,Redmond,US,44.53,overcast clouds,47.674,-122.1215,Seattle Marriott Redmond
330,Sabang,ID,82.67,scattered clouds,5.8933,95.3214,Hotel Citra
331,Erenhot,CN,5.09,scattered clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
332,Liwale,TZ,71.29,overcast clouds,-9.7667,37.9333,Samoma lodge
333,Cottbus,DE,51.53,overcast clouds,51.7667,14.3333,Spree-Waldhotel Cottbus
334,Esperantina,BR,72.77,moderate rain,-3.9017,-42.2336,Pousada Recanto Das Aguas
335,Ambon,ID,80.74,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
337,Najran,SA,61.45,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
338,Sembe,CG,72.14,light rain,1.6481,14.5806,
339,Dunedin,NZ,62.8,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
340,Oriximina,BR,74.98,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
341,Mount Isa,AU,94.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
343,Road Town,VG,77.09,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
344,Itoman,JP,59.38,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
345,Kamaishi,JP,29.35,scattered clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
346,Roma,US,42.66,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
348,Namibe,AO,75.13,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
349,Meulaboh,ID,79.93,overcast clouds,4.1363,96.1285,Kost Pria
