City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Chabahar,IR,25.2919,60.643,71.33,66,0,10.92,clear sky
174,Ostersund,SE,63.1792,14.6357,16.25,92,100,11.5,overcast clouds
175,Bonavista,CA,48.6499,-53.1147,17.6,71,96,18.23,overcast clouds
176,Tarakan,ID,3.3,117.6333,78.3,83,75,9.22,moderate rain
177,Canyon,US,34.9803,-101.9188,61.52,13,4,11.99,clear sky
178,Aklavik,CA,68.2191,-135.0107,-17.57,97,6,6.55,clear sky
179,Irvine,US,33.6695,-117.8231,61.79,80,75,5.75,broken clouds
180,Taoudenni,ML,22.6783,-3.9836,73.35,17,46,12.01,scattered clouds
181,Semey,KZ,50.4111,80.2275,8.82,66,0,11.18,clear sky
182,Kruisfontein,ZA,-34.0033,24.7314,60.19,80,0,5.44,clear sky
183,Altamont,US,42.2068,-121.7372,33.64,62,75,13.8,broken clouds
184,Palmer,US,42.1584,-72.3287,30.07,63,0,14.97,clear sky
185,Gao,ML,16.6362,1.637,68.45,10,0,11.36,clear sky
186,Goundam,ML,16.4145,-3.6708,75.02,13,0,9.28,clear sky
187,Orange,US,33.7,-117.7675,61.99,81,75,5.75,broken clouds
188,Acarau,BR,-2.8856,-40.12,78.39,82,53,10.85,broken clouds
189,Geraldton,AU,-28.7667,114.6,95.41,20,78,10.36,broken clouds
190,Kudahuvadhoo,MV,2.6708,72.8944,80.92,69,37,3.27,scattered clouds
191,Zemio,CF,5.0314,25.1361,66.92,30,95,1.05,overcast clouds
192,Ewa Beach,US,21.3156,-158.0072,81.01,59,20,12.66,few clouds
193,Berlevag,NO,70.8578,29.0864,25.2,69,100,8.28,light snow
194,Prokhorovka,RU,51.0374,36.7325,31.57,94,15,5.95,few clouds
195,Severo-Kurilsk,RU,50.6789,156.125,28.9,82,100,46.19,overcast clouds
196,Caconda,AO,-13.7333,15.0667,58.78,97,99,1.32,overcast clouds
197,Peleduy,RU,59.6289,112.7406,4.35,95,100,10.27,light snow
198,Darjiling,IN,27.0333,88.2667,35.69,67,1,4.07,clear sky
199,Dukat,RU,62.55,155.55,-19.21,89,6,3.38,clear sky
200,Whitehorse,CA,60.7161,-135.0538,4.1,72,20,3.44,few clouds
201,Ust-Tsilma,RU,65.441,52.1498,22.1,98,99,2.8,light snow
202,Margate,GB,51.3813,1.3862,42.12,64,48,8.01,scattered clouds
203,Dicabisagan,PH,17.0818,122.4157,75.25,91,100,8.03,overcast clouds
204,Adrar,MR,20.5022,-10.0711,64.98,26,51,12.03,broken clouds
205,Roebourne,AU,-20.7833,117.1333,98.35,25,6,9.95,clear sky
